ec_id	go_id
1.14.15.21	GO:0052662
1.14.15.25	GO:0018694
1.14.15.29	GO:0036199
1.14.15.3	GO:0018685,GO:0052869
1.14.15.30	GO:0036200
1.14.15.4	GO:0004507
1.14.15.5	GO:0047783
1.14.15.6	GO:0008386
1.14.15.7	GO:0019133
1.14.15.9	GO:0043823
1.14.16.1	GO:0004505
1.14.16.2	GO:0004511
1.14.16.4	GO:0004510
1.14.16.5	GO:0050479
1.14.16.6	GO:0050481
1.14.17.1	GO:0004500
1.14.17.3	GO:0004504
1.14.17.4	GO:0009815
1.14.18.1	GO:0004503
1.14.18.11	GO:0102177
1.14.18.2	GO:0030338
1.14.18.4	GO:0050183,GO:0102518
1.14.18.5	GO:0102772
1.14.18.9	GO:0000254
1.14.19.1	GO:0004768
1.14.19.12	GO:0102431
1.14.19.17	GO:0042284
1.14.19.2	GO:0045300,GO:0102786
1.14.19.20	GO:0050046
1.14.19.22	GO:0050184
1.14.19.23	GO:0102655,GO:0102834,GO:0102836,GO:0102838,GO:0102841,GO:0102844,GO:0102850,GO:0102873
1.14.19.24	GO:0050600
1.14.19.25	GO:0102856,GO:0102859,GO:0102862,GO:0102872
1.14.19.3	GO:0016213
1.14.19.35	GO:0102835,GO:0102837,GO:0102839,GO:0102840,GO:0102842,GO:0102848,GO:0102849,GO:0102874,GO:0102875
1.14.19.38	GO:0102865
1.14.19.4	GO:0102003
1.14.19.42	GO:0102657,GO:0102843
1.14.19.43	GO:0102654,GO:0102851
1.14.19.44	GO:0062076
1.14.19.5	GO:0017105
1.14.19.51	GO:0102963
1.14.19.6	GO:0102985
1.14.19.62	GO:0050616
1.14.19.64	GO:0047052
1.14.19.65	GO:0047053
1.14.19.66	GO:0047054
1.14.19.67	GO:0047055
1.14.19.68	GO:0047056
1.14.19.73	GO:0102632
1.14.19.74	GO:0102915,GO:0102916
1.14.19.77	GO:0050207
1.14.20.1	GO:0050599
1.14.20.13	GO:0047594
1.14.20.4	GO:0050589
1.14.20.5	GO:0033759
1.14.20.6	GO:0045431
1.14.99.1	GO:0004666
1.14.99.11	GO:0047882
1.14.99.12	GO:0047096
1.14.99.14	GO:0050212
1.14.99.15	GO:0018690
1.14.99.2	GO:0050016
1.14.99.20	GO:0047097
1.14.99.21	GO:0047098
1.14.99.22	GO:0004501
1.14.99.23	GO:0047563
1.14.99.24	GO:0050292
1.14.99.26	GO:0047546
1.14.99.29	GO:0019135
1.14.99.33	GO:0016720
1.14.99.35	GO:0050603
1.14.99.38	GO:0001567
1.14.99.39	GO:0018597
1.14.99.4	GO:0050214
1.14.99.50	GO:0044875
1.14.99.59	GO:0140382
1.14.99.60	GO:0008682
1.14.99.66	GO:0140682
1.15.1.1	GO:0004784
1.15.1.2	GO:0050605
1.16.1.1	GO:0016152
1.16.1.2	GO:0047852
1.16.1.6	GO:0033787
1.16.1.7	GO:0140618
1.16.1.8	GO:0030586
1.16.1.9	GO:0052851
1.16.3.1	GO:0004322
1.17.1.1	GO:0047099
1.17.1.10	GO:0047899
1.17.1.3	GO:0033788
1.17.1.4	GO:0004854
1.17.1.5	GO:0050138
1.17.1.8	GO:0008839
1.17.1.9	GO:0008863
1.17.2.3	GO:0047111
1.17.3.1	GO:0050227
1.17.3.2	GO:0004855
1.17.3.3	GO:0043732
1.17.3.4	GO:0050012
1.17.4.1	GO:0004748
1.17.4.2	GO:0008998
1.17.4.4	GO:0047057
1.17.4.5	GO:0047058
1.17.5.1	GO:0033789
1.17.5.2	GO:0034875
1.17.5.3	GO:0036397
1.17.7.1	GO:0046429
1.17.7.4	GO:0051745
1.17.9.1	GO:0018695
1.17.99.2	GO:0018693
1.17.99.3	GO:0033791
1.17.99.4	GO:0050383,GO:0052620
1.17.99.6	GO:0052693
1.18.1.1	GO:0015044
1.18.1.2	GO:0004324
1.18.1.3	GO:0008860
1.18.1.4	GO:0015045,GO:0015046
1.18.1.6	GO:0015039
1.18.6.1	GO:0016163,GO:0018697
