reaction_id	kegg_orthologs	kegg_ec
R05820	K02781,K02782,K02783	2.7.1.198
R00698	K03782	1.11.1.21
R05072		2.8.1.5
R11816	K07215,K07226	1.14.99.58
R00119	K01242,K18152	2.4.99.20
R09209		1.14.12.-
R09848		
R00221	K01753,K20498	4.3.1.18
R03118	K00706	2.4.1.34
R10935	K09733	4.2.3.153
R11047	K13322	
R12527		2.4.1.372
R07103		
R00863	K09758	4.1.1.12
R11926		6.2.1.52
R07816	K01205	3.2.1.50
R02375		2.3.1.139
R03136	K05889	1.1.2.6
R11924	K21059	6.2.1.51
R00411	K05526	3.5.1.96
R00197	K00102	1.1.2.4
R08227	K01464	3.5.2.2
R07748		
R04903	K00128,K00149,K14085	1.2.1.3
R08143	K14985	1.14.-.-
R00927	K00632,K07508,K07509,K07513	2.3.1.9,2.3.1.16
R06674		
R02234		1.3.99.14
R12778		1.14.11.77
R11264	K09788	5.3.3.-
R05867		
R00397	K09758	4.1.1.12
R07150		1.1.1.186
R08621	K21360	1.1.1.-
R10095	K14136	2.4.2.45
R08332	K10977	2.3.3.-
R02487	K00252	1.3.8.6
R01282		
R07156		1.2.1.69
R11607	K21585	2.6.1.111
R11175	K20169	1.4.2.2
R10922		1.14.14.126
R05818	K05369	1.3.7.2
R05544		
R00115	K00383	1.8.1.7
R09985		1.1.1.322
R00682		3.5.1.57
R06209		3.2.1.1
R02979		1.3.99.-
R09135	K01860	5.5.1.7
R09038	K13535	3.1.1.-
R11787	K22313	3.1.7.12
R01390		
R10723		1.14.11.45
R00783	K00368,K15864	1.7.2.1
R05385		4.5.1.-
R05215	K13387	1.14.19.66
R01376		2.6.1.28
R00973		4.1.1.66
R10360	K18390	
R11507	K13602	2.1.1.331
R06622	K03379	1.14.13.22
R11752		
R07640		6.5.1.3
R00256	K01425,K01954,K01955,K01956,K05597,K11540,K11541,K23265	1.4.1.13,1.4.1.14,1.4.7.1,2.6.1.85,2.6.1.123,3.5.1.2,3.5.1.38,4.3.2.10,4.3.3.6,6.3.4.2,6.3.5.2,6.3.5.4,6.3.5.5,6.3.5.13
R05384		4.5.1.-
R07454	K09587,K12639	1.14.14.178
R09641	K13656	2.7.8.31
R02215	K00251	1.3.99.6
R02315	K00293,K24034	1.5.1.10
R12710		4.2.1.161
R05551	K01426	3.5.1.4
R01786	K00844,K00845,K12407,K25026	2.7.1.1,2.7.1.2
R05482		
R03636	K13082	1.1.1.219
R05451		6.2.1.-
R07560	K09879	1.3.99.39
R00044		1.21.3.2
